bayesian	('bayesian',)
j&nbsp;tukey~the	('j&nbsp;tukey~the',)
by~j&nbsp;tukey~the	('by~j&nbsp;tukey~the',)
by~invented~j&nbsp;tukey~the	('invented~by~j&nbsp;tukey~the',)
box-and-whisker~horizontal	('box-and-whisker~horizontal',)
line~plot	('plot~line',)
box-and-whisker~line~plot	('box-and-whisker~plot~line',)
in~plot~sometimes	('plot~sometimes~in',)
box-and-whisker~in~plot~sometimes	('box-and-whisker~plot~sometimes~in',)
called~sometimes~the	('sometimes~called~the',)
called~plot~sometimes~the	('plot~sometimes~called~the',)
a~now	('a~now',)
a~now~simply	('simply~a~now',)
a~called~now~simply	('called~simply~a~now',)
box~extend	('box~extend',)
a~box~extend	('a~box~extend',)
a~box~extend~simply	('simply~a~box~extend',)
box~is~the	('box~is~the',)
a~box~is~the	('a~box~is~the', 'box~is~a~the')
a~box~is~to	('box~is~a~to',)
histogram~the	('histogram~the',)
farthest	('farthest',)
farthest~method	('method~farthest',)
farthest~histogram~method	('histogram~method~farthest',)
displaying~that	('displaying~that',)
displaying~of~that	('of~displaying~that',)
displaying~method~of~that	('method~of~displaying~that',)
are~data~displaying	('displaying~data~are',)
are~data~displaying~of	('of~displaying~data~are',)
invented~not	('invented~not',)
data~invented~not	('data~invented~not',)
data~displaying~invented~not	('displaying~data~invented~not',)
j&nbsp;tukey~that~to	('j&nbsp;tukey~to~that',)
by~j&nbsp;tukey~that~to	('by~j&nbsp;tukey~to~that',)
are~create	('create~are',)
are~create~to	('to~create~are',)
are~create~j&nbsp;tukey~to	('j&nbsp;tukey~to~create~are',)
a~create~within	('create~a~within',)
a~create~to~within	('to~create~a~within',)
box-and-whisker~plot~the	('box-and-whisker~plot~the',)
box-and-whisker~every	('box-and-whisker~every',)
plot~point	('plot~point',)
box-and-whisker~plot~point	('box-and-whisker~plot~point',)
more~sometimes	('sometimes~more',)
more~plot~sometimes	('plot~sometimes~more',)
box-and-whisker~more~plot~sometimes	('box-and-whisker~plot~sometimes~more',)
called~than	('called~than',)
called~sometimes~than	('sometimes~called~than',)
called~plot~sometimes~than	('plot~sometimes~called~than',)
a~simply~the	('simply~a~the',)
a~called~simply~the	('called~simply~a~the',)
box-and-whisker~end	('box-and-whisker~end',)
box-and-whisker~of~plot	('box-and-whisker~plot~of',)
a~plot~sometimes	('plot~sometimes~a',)
a~box-and-whisker~plot~sometimes	('box-and-whisker~plot~sometimes~a',)
draw~simply	('simply~draw',)
called~draw~simply	('called~simply~draw',)
called~draw~simply~sometimes	('sometimes~called~simply~draw',)
box~if~is	('box~is~if',)
a~box~if~is	('a~box~is~if',)
a~box~is~two	('box~is~a~two',)
have~method	('method~have',)
have~histogram~method	('histogram~method~have',)
method~of~the	('method~of~the',)
histogram~method~of~the	('histogram~method~of~the',)
displaying~same	('displaying~same',)
displaying~of~same	('of~displaying~same',)
displaying~method~of~same	('method~of~displaying~same',)
draw~invented	('invented~draw',)
data~draw~invented	('data~invented~draw',)
data~displaying~draw~invented	('displaying~data~invented~draw',)
by~them	('by~them',)
by~invented~them	('invented~by~them',)
by~data~invented~them	('data~invented~by~them',)
j&nbsp;tukey~side	('j&nbsp;tukey~side',)
by~j&nbsp;tukey~side	('by~j&nbsp;tukey~side',)
by~invented~j&nbsp;tukey~side	('invented~by~j&nbsp;tukey~side',)
by~j&nbsp;tukey~to	('j&nbsp;tukey~to~by',)
create~side	('create~side',)
create~side~to	('to~create~side',)
create~j&nbsp;tukey~side~to	('j&nbsp;tukey~to~create~side',)
a~gonick	('a~gonick',)
a~create~gonick	('create~a~gonick',)
a~create~gonick~to	('to~create~a~gonick',)
and~box-and-whisker	('box-and-whisker~and',)
and~box-and-whisker~create	('create~box-and-whisker~and',)
plot~smith	('plot~smith',)
box-and-whisker~plot~smith	('box-and-whisker~plot~smith',)
box-and-whisker~draw	('draw~box-and-whisker',)
box-and-whisker~draw~plot	('plot~draw~box-and-whisker',)
are~box	('box~are',)
are~box~draw	('draw~box~are',)
implemented~with	('with~implemented',)
box~implemented~with	('box~with~implemented',)
a~box~implemented~with	('a~box~with~implemented',)
end~in	('end~in',)
end~in~with	('with~end~in',)
box~end~in~with	('box~with~end~in',)
at~end~the	('end~at~the',)
at~end~the~with	('with~end~at~the',)
boxwhiskerchart	('boxwhiskerchart',)
other~plot	('plot~other',)
box-and-whisker~other~plot	('box-and-whisker~plot~other',)
slightly~sometimes	('sometimes~slightly',)
plot~slightly~sometimes	('plot~sometimes~slightly',)
box-and-whisker~plot~slightly~sometimes	('box-and-whisker~plot~sometimes~slightly',)
called~different~sometimes	('sometimes~called~different',)
called~different~plot~sometimes	('plot~sometimes~called~different',)
are~called~simply	('called~simply~are',)
box~sometimes	('box~sometimes',)
a~box~sometimes	('a~box~sometimes',)
a~box~simply~sometimes	('simply~a~box~sometimes',)
a~box~in~is	('box~is~a~in',)
histogram~tukey's	("histogram~tukey's",)
method~original	('method~original',)
histogram~method~original	('histogram~method~original',)
displaying~the	('displaying~the',)
displaying~of~the	('of~displaying~the',)
displaying~method~of~the	('method~of~displaying~the',)
closely-related	('closely-related',)
closely-related~data	('data~closely-related',)
closely-related~data~displaying	('displaying~data~closely-related',)
closely-related~data~displaying~of	('of~displaying~data~closely-related',)
and~invented	('invented~and',)
and~data~invented	('data~invented~and',)
and~data~displaying~invented	('displaying~data~invented~and',)
lesser	('lesser',)
by~lesser	('by~lesser',)
by~invented~lesser	('invented~by~lesser',)
by~data~invented~lesser	('data~invented~by~lesser',)
j&nbsp;tukey~known	('j&nbsp;tukey~known',)
by~j&nbsp;tukey~known	('by~j&nbsp;tukey~known',)
by~invented~j&nbsp;tukey~known	('invented~by~j&nbsp;tukey~known',)
box-and-whisker~instead	('box-and-whisker~instead',)
plot~tukey's	("plot~tukey's",)
box-and-whisker~plot~tukey's	("box-and-whisker~plot~tukey's",)
original~sometimes	('sometimes~original',)
original~plot~sometimes	('plot~sometimes~original',)
box-and-whisker~original~plot~sometimes	('box-and-whisker~plot~sometimes~original',)
called~formulation	('called~formulation',)
called~formulation~sometimes	('sometimes~called~formulation',)
called~formulation~plot~sometimes	('plot~sometimes~called~formulation',)
lacked	('lacked',)
lacked~simply	('simply~lacked',)
called~lacked~simply	('called~simply~lacked',)
called~lacked~simply~sometimes	('sometimes~called~simply~lacked',)
horizontal~simply	('simply~horizontal',)
called~horizontal~simply	('called~simply~horizontal',)
crossbars	('crossbars',)
extended~is	('is~extended',)
box~extended~is	('box~is~extended',)
a~box~extended~is	('a~box~is~extended',)
whiskers	('whiskers',)
histogram~whiskers	('histogram~whiskers',)
all~method	('method~all',)
all~histogram~method	('histogram~method~all',)
displaying~way	('displaying~way',)
displaying~of~way	('of~displaying~way',)
displaying~method~of~way	('method~of~displaying~way',)
data~displaying~to	('displaying~data~to',)
data~displaying~of~to	('of~displaying~data~to',)
invented~the	('invented~the',)
data~invented~the	('data~invented~the',)
data~displaying~invented~the	('displaying~data~invented~the',)
by~extreme	('by~extreme',)
by~extreme~invented	('invented~by~extreme',)
by~data~extreme~invented	('data~invented~by~extreme',)
data~j&nbsp;tukey	('j&nbsp;tukey~data',)
by~data~j&nbsp;tukey	('by~j&nbsp;tukey~data',)
by~data~invented~j&nbsp;tukey	('invented~by~j&nbsp;tukey~data',)
and~create	('create~and',)
and~create~to	('to~create~and',)
and~create~j&nbsp;tukey~to	('j&nbsp;tukey~to~create~and',)
drew	('drew',)
a~drew	('a~drew',)
a~create~drew	('create~a~drew',)
a~create~drew~to	('to~create~a~drew',)
an~box-and-whisker	('box-and-whisker~an',)
an~box-and-whisker~create	('create~box-and-whisker~an',)
unfilled	('unfilled',)
plot~unfilled	('plot~unfilled',)
box-and-whisker~plot~unfilled	('box-and-whisker~plot~unfilled',)
dot~draw	('draw~dot',)
dot~draw~plot	('plot~draw~dot',)
box-and-whisker~dot~draw~plot	('box-and-whisker~plot~draw~dot',)
at~draw	('draw~at',)
at~draw~plot	('plot~draw~at',)
box~the	('box~the',)
a~box~the	('a~box~the',)
a~box~draw~the	('draw~a~box~the',)
maximum~with	('with~maximum',)
box~maximum~with	('box~with~maximum',)
and~end	('end~and',)
and~end~with	('with~end~and',)
and~box~end~with	('box~with~end~and',)
a~at~end	('end~at~a',)
a~at~end~with	('with~end~at~a',)
hatched	('hatched',)
hatched~the	('the~hatched',)
end~hatched~the	('end~the~hatched',)
horizontal~quartile	('quartile~horizontal',)
horizontal~quartile~the	('the~quartile~horizontal',)
at~horizontal~quartile~the	('at~the~quartile~horizontal',)
strip	('strip',)
and~strip	('and~strip',)
and~quartile~strip	('quartile~and~strip',)
and~quartile~strip~the	('the~quartile~and~strip',)
and~at~draw	('and~draw~at',)
and~at~draw~quartile	('quartile~and~draw~at',)
draw~the	('draw~the',)
and~draw~the	('and~draw~the',)
as~median	('median~as',)
as~median~statistical	('statistical~median~as',)
as~median~statistical~the	('the~statistical~median~as',)
as~illustrated	('as~illustrated',)
as~illustrated~median	('median~as~illustrated',)
as~illustrated~median~statistical	('statistical~median~as~illustrated',)
above~as	('as~above',)
above~as~median	('median~as~above',)
horizontal~left	('horizontal~left',)
as~horizontal~left	('as~horizontal~left',)
figure;	('figure;',)
figure;~line	('line~figure;',)
figure;~horizontal~line	('horizontal~line~figure;',)
in~tukey	('in~tukey',)
in~line~tukey	('line~in~tukey',)
horizontal~in~line~tukey	('horizontal~line~in~tukey',)
box~variation	('box~variation',)
box~the~variation	('the~box~variation',)
box~in~the~variation	('in~the~box~variation',)
extended~now	('now~extended',)
box~extended~now	('box~now~extended',)
box~extended~now~the	('the~box~now~extended',)
extend~the	('extend~the',)
extend~now~the	('now~extend~the',)
box~extend~now~the	('box~now~extend~the',)
the~whiskers	('the~whiskers',)
extend~the~whiskers	('extend~the~whiskers',)
extend~now~the~whiskers	('now~extend~the~whiskers',)
extend~only~the~to	('extend~the~to~only',)
out~the~to	('to~the~out',)
farthest~to	('farthest~to',)
farthest~point~some	('farthest~point~some',)
arbitrary~that	('that~arbitrary',)
arbitrary~point~that	('point~that~arbitrary',)
arbitrary~farthest~point~that	('farthest~point~that~arbitrary',)
are~minimum	('are~minimum',)
are~minimum~that	('that~are~minimum',)
are~minimum~point~that	('point~that~are~minimum',)
and~not	('not~and',)
and~are~not~that	('that~are~not~and',)
maximum~outlier	('outlier~maximum',)
maximum~not~outlier	('not~outlier~maximum',)
are~maximum~not~outlier	('are~not~outlier~maximum',)
and~ie~that	('ie~that~and',)
and~ie~outlier~that	('outlier~ie~that~and',)
identifying	('identifying',)
are~identifying	('are~identifying',)
are~identifying~that	('that~are~identifying',)
are~identifying~ie~that	('ie~that~are~identifying',)
are~the~within	('are~within~the',)
are~that~the~within	('that~are~within~the',)
the~time~with	('time~the~with',)
the~time~with~within	('within~time~the~with',)
explicit~interquartile	('interquartile~explicit',)
explicit~interquartile~the	('the~interquartile~explicit',)
explicit~interquartile~the~time	('time~the~interquartile~explicit',)
labels	('labels',)
labels~range	('range~labels',)
interquartile~labels~range	('interquartile~range~labels',)
interquartile~labels~range~the	('the~interquartile~range~labels',)
of~tukey	('of~tukey',)
of~range~tukey	('range~of~tukey',)
interquartile~of~range~tukey	('interquartile~range~of~tukey',)
and~tukey	('and~tukey',)
and~of~tukey	('of~and~tukey',)
and~of~range~tukey	('range~of~and~tukey',)
also~and~then	('and~then~also',)
also~and~of~then	('of~and~then~also',)
considered~for	('for~considered',)
considered~for~then	('then~for~considered',)
and~considered~for~then	('and~then~for~considered',)
an~every	('every~an',)
an~every~for	('for~every~an',)
an~every~for~then	('then~for~every~an',)
additional~point	('point~additional',)
additional~every~point	('every~point~additional',)
additional~every~for~point	('for~every~point~additional',)
more~variation	('more~variation',)
more~point~variation	('point~more~variation',)
every~more~point~variation	('every~point~more~variation',)
in~more~point~than	('point~more~than~in',)
than~time~which	('than~time~which',)
more~than~time~which	('more~than~time~which',)
than~the~time	('than~time~the',)
are~range	('range~are',)
are~interquartile~range	('interquartile~range~are',)
are~interquartile~range~the	('the~interquartile~range~are',)
from~indicated	('from~indicated',)
from~indicated~range	('range~from~indicated',)
from~indicated~interquartile~range	('interquartile~range~from~indicated',)
separately~the	('the~separately',)
from~separately~the	('from~the~separately',)
from~range~separately~the	('range~from~the~separately',)
and~end~the	('the~end~and',)
and~end~from~the	('from~the~end~and',)
of~whiskers	('of~whiskers',)
end~of~whiskers	('end~of~whiskers',)
end~of~the~whiskers	('the~end~of~whiskers',)
are~end~of	('end~of~are',)
dashed	('dashed',)
ending	('ending',)
draw~ending	('draw~ending',)
box~draw~ending	('box~draw~ending',)
a~draw~with	('draw~a~with',)
a~box~draw~with	('box~draw~a~with',)
dashed~dot	('dot~dashed',)
dashed~dot~draw	('draw~dot~dashed',)
crossbars~if	('if~crossbars',)
crossbars~dot~if	('dot~if~crossbars',)
at~two	('two~at',)
at~if~two	('if~two~at',)
at~dot~if~two	('dot~if~two~at',)
a~closest	('a~closest',)
box-and-whisker~to	('box-and-whisker~to',)
but~plot	('plot~but',)
box-and-whisker~but~plot	('box-and-whisker~plot~but',)
sometimes~still	('sometimes~still',)
plot~sometimes~still	('plot~sometimes~still',)
box-and-whisker~plot~sometimes~still	('box-and-whisker~plot~sometimes~still',)
called~inside	('called~inside',)
called~inside~sometimes	('sometimes~called~inside',)
called~inside~plot~sometimes	('plot~sometimes~called~inside',)
called~simply~the	('called~simply~the',)
called~simply~sometimes~the	('sometimes~called~simply~the',)
a~inner	('a~inner',)
a~inner~simply	('simply~a~inner',)
a~called~inner~simply	('called~simply~a~inner',)
box-and-whisker~statistical	('box-and-whisker~statistical',)
dot~sometimes	('sometimes~dot',)
dot~plot~sometimes	('plot~sometimes~dot',)
box-and-whisker~dot~plot~sometimes	('box-and-whisker~plot~sometimes~dot',)
box~interquartile	('box~interquartile',)
box~interquartile~simply	('simply~box~interquartile',)
histogram~statistical	('histogram~statistical',)
display	('display',)
display~to	('to~display',)
display~to~way	('way~to~display',)
a~way	('way~a',)
to~two-dimensional	('to~two-dimensional',)
to~two-dimensional~way	('way~to~two-dimensional',)
for~variable	('variable~for',)
display~for~variable	('display~variable~for',)
display~for~to~variable	('to~display~variable~for',)
a~let~on	('on~a~let',)
a~let~on~variable	('variable~on~a~let',)
eyebrow	('eyebrow',)
a~eyebrow	('a~eyebrow',)
slant	('slant',)
eye	('eye',)
a~eye	('a~eye',)
nose	('nose',)
a~nose	('a~nose',)
display~the	('display~the',)
display~the~to	('to~display~the',)
display~the~to~way	('way~to~display~the',)
above~variable	('variable~above',)
above~display~variable	('display~variable~above',)
above~display~to~variable	('to~display~variable~above',)
a~on~show	('on~a~show',)
a~on~show~variable	('variable~on~a~show',)
produced~surface	('surface~produced',)
produced~surface~two-dimensional	('two-dimensional~surface~produced',)
for~surface~using	('surface~for~using',)
for~surface~two-dimensional~using	('two-dimensional~surface~for~using',)
characteristics--head	('characteristics--head',)
characteristics--head~instance	('instance~characteristics--head',)
characteristics--head~for~instance	('for~instance~characteristics--head',)
characteristics--head~for~instance~surface	('surface~for~instance~characteristics--head',)
eccentricity	('eccentricity',)
be~eye	('be~eye',)
be~eye~let	('let~be~eye',)
be~eye~instance~let	('instance~let~be~eye',)
eye~slant	('slant~eye',)
eye~eyebrow~slant	('eyebrow~slant~eye',)
be~eye~eyebrow~slant	('be~eyebrow~slant~eye',)
spacing	('spacing',)
be~eye~slant	('slant~be~eye',)
pupil	('pupil',)
be~pupil	('be~pupil',)
be~pupil~size	('size~be~pupil',)
be~eye~pupil~size	('eye~size~be~pupil',)
eyebrow~length	('length~eyebrow',)
eyebrow~length~nose	('nose~length~eyebrow',)
be~eyebrow~length~nose	('be~nose~length~eyebrow',)
nose~the	('the~nose',)
etc~nose~the	('etc~the~nose',)
etc~length~nose~the	('length~etc~the~nose',)
mouth	('mouth',)
figure~mouth	('figure~mouth',)
above~figure~mouth	('above~figure~mouth',)
above~figure~mouth~the	('the~above~figure~mouth',)
face~mouth	('face~mouth',)
face~mouth~show	('show~face~mouth',)
face~figure~mouth~show	('figure~show~face~mouth',)
and~using	('using~and',)
and~produced~using	('produced~using~and',)
and~face~produced~using	('face~produced~using~and',)
characteristics--head~mouth	('characteristics--head~mouth',)
characteristics--head~mouth~using	('using~characteristics--head~mouth',)
characteristics--head~mouth~produced~using	('produced~using~characteristics--head~mouth',)
assigned~eccentricity	('eccentricity~assigned',)
assigned~characteristics--head~eccentricity	('characteristics--head~eccentricity~assigned',)
assigned~characteristics--head~eccentricity~using	('using~characteristics--head~eccentricity~assigned',)
eye~one	('eye~one',)
eccentricity~eye~one	('eccentricity~eye~one',)
characteristics--head~eccentricity~eye~one	('characteristics--head~eccentricity~eye~one',)
eye~of~size	('eye~size~of',)
eccentricity~eye~of~size	('eccentricity~eye~size~of',)
eye~possible	('eye~possible',)
eye~possible~size	('size~eye~possible',)
eye~generated	('eye~generated',)
eye~generated~spacing	('spacing~eye~generated',)
eccentricity~using	('eccentricity~using',)
eccentricity~eye~using	('eye~eccentricity~using',)
eccentricity~eye~spacing~using	('spacing~eye~eccentricity~using',)
pupil~the	('pupil~the',)
eccentricity~pupil~the	('eccentricity~pupil~the',)
eccentricity~eye~pupil~the	('eye~eccentricity~pupil~the',)
statistical~way	('way~statistical',)
of~plot~the	('plot~of~the',)
a~of~plot~the	('a~plot~of~the',)
cumulative~of~plot~the	('plot~of~the~cumulative',)
cumulative~frequency~the	('the~cumulative~frequency',)
cumulative~frequency~of~the	('of~the~cumulative~frequency',)
against	('against',)
against~frequency	('frequency~against',)
against~cumulative~frequency	('cumulative~frequency~against',)
against~cumulative~frequency~the	('the~cumulative~frequency~against', 'cumulative~frequency~against~the')
against~the	('against~the', 'the~against')
against~frequency~the	('frequency~against~the',)
against~the~upper	('against~the~upper',)
against~frequency~the~upper	('frequency~against~the~upper', 'against~the~upper~frequency')
class~upper	('upper~class',)
class~the~upper	('the~upper~class',)
against~class~the~upper	('against~the~upper~class',)
boundary~class	('class~boundary',)
boundary~class~upper	('upper~class~boundary',)
boundary~class~the~upper	('the~upper~class~boundary',)
boundary~with	('boundary~with',)
boundary~class~with	('class~boundary~with',)
boundary~class~upper~with	('upper~class~boundary~with',)
boundary~the~with	('boundary~with~the',)
boundary~class~the~with	('class~boundary~with~the',)
joined~point	('point~joined',)
joined~point~the	('the~point~joined',)
joined~point~the~with	('with~the~point~joined',)
by~joined	('joined~by',)
by~joined~point	('point~joined~by',)
by~joined~point~the	('the~point~joined~by',)
by~joined~line	('joined~by~line',)
by~joined~line~point	('point~joined~by~line',)
any~segment	('segment~any',)
any~line~segment	('line~segment~any',)
any~by~line~segment	('by~line~segment~any',)
any~continuous	('any~continuous',)
any~continuous~segment	('segment~any~continuous',)
any~continuous~line~segment	('line~segment~any~continuous',)
continuous~cumulative	('continuous~cumulative',)
any~continuous~cumulative	('any~continuous~cumulative',)
any~continuous~cumulative~segment	('segment~any~continuous~cumulative',)
continuous~cumulative~frequency	('continuous~cumulative~frequency',)
any~continuous~cumulative~frequency	('any~continuous~cumulative~frequency',)
curve~including	('curve~including',)
curve~frequency~including	('frequency~curve~including',)
cumulative~curve~frequency~including	('cumulative~frequency~curve~including',)
a~including	('including~a',)
a~curve~including	('curve~including~a',)
a~curve~frequency~including	('frequency~curve~including~a',)
cumulative~including	('including~cumulative',)
cumulative~curve~including	('curve~including~cumulative',)
cumulative~frequency~including	('including~cumulative~frequency',)
is~polygon	('polygon~is',)
frequency~is~polygon	('frequency~polygon~is',)
cumulative~frequency~is~polygon	('cumulative~frequency~polygon~is',)
called~is~polygon	('polygon~is~called',)
called~frequency~is~polygon	('frequency~polygon~is~called',)
an~called~is~polygon	('polygon~is~called~an',)
of~plot~statistical	('plot~of~statistical',)
absolute~cumulative	('cumulative~absolute',)
absolute~cumulative~the	('the~cumulative~absolute',)
absolute~cumulative~of~the	('of~the~cumulative~absolute',)
against~class	('against~class',)
against~class~frequency	('frequency~against~class',)
against~class~cumulative~frequency	('cumulative~frequency~against~class',)
frequency~upper	('upper~frequency',)
frequency~the~upper	('the~upper~frequency',)
boundary~frequency	('boundary~frequency',)
boundary~class~frequency	('class~boundary~frequency',)
boundary~class~frequency~upper	('upper~class~boundary~frequency',)
point~relative	('point~relative',)
point~relative~the	('the~point~relative',)
point~relative~the~with	('with~the~point~relative',)
cumulative~joined	('joined~cumulative',)
cumulative~joined~point	('point~joined~cumulative',)
cumulative~joined~point~the	('the~point~joined~cumulative',)
line~relative	('line~relative',)
by~line~relative	('by~line~relative',)
by~joined~line~relative	('joined~by~line~relative',)
plot~statistical	('plot~statistical',)
difference~plot~statistical	('difference~plot~statistical',)
bland-altman~plot~statistical	('statistical~plot~bland-altman',)
a~dot	('a~dot', 'dot~a')
also~plot	('plot~also',)
also~dot~plot	('dot~plot~also',)
also~called~plot	('plot~also~called',)
also~called~dot~plot	('dot~plot~also~called', 'plot~also~called~dot')
a~also~called~plot	('plot~also~called~a', 'also~called~a~plot')
a~called~dot	('called~a~dot',)
a~also~called~dot	('also~called~a~dot',)
chart~is	('chart~is',)
chart~dot~is	('dot~chart~is',)
a~chart~is	('chart~is~a',)
a~chart~dot~is	('dot~chart~is~a',)
a~chart~is~type	('chart~is~a~type',)
of~simple~type	('type~of~simple',)
a~of~simple~type	('a~type~of~simple', 'type~of~simple~a')
dot~in	('dot~in',)
a~dot~in	('a~dot~in',)
also~for~plot	('plot~also~for',)
also~dot~for~plot	('dot~plot~also~for',)
called~relatively	('called~relatively',)
also~called~relatively	('also~called~relatively',)
also~called~plot~relatively	('plot~also~called~relatively',)
called~small	('called~small',)
also~called~small	('also~called~small',)
data~dot	('dot~data',)
called~data~dot	('called~dot~data',)
chart~is~where	('chart~is~where',)
chart~dot~is~where	('dot~chart~is~where',)
fall~type	('type~fall',)
fall~is~type	('is~type~fall',)
into~of~type	('type~of~into',)
a~into~of~type	('a~type~of~into',)
histogram~number	('histogram~number',)
histogram~number~simple	('simple~histogram~number',)
histogram~number~of~simple	('of~simple~histogram~number',)
chart~of	('chart~of',)
chart~histogram~of	('histogram~chart~of',)
chart~histogram~of~simple	('simple~histogram~chart~of',)
discrete~used	('used~discrete',)
chart~discrete~used	('chart~used~discrete',)
chart~discrete~histogram~used	('histogram~chart~used~discrete',)
in~statistic~to	('in~statistic~to',)
in~statistic~to~used	('used~in~statistic~to',)
draw~for	('for~draw',)
draw~for~statistic	('statistic~for~draw',)
draw~for~in~statistic	('in~statistic~for~draw',)
a~relatively	('relatively~a',)
a~for~relatively	('for~relatively~a',)
a~for~relatively~statistic	('statistic~for~relatively~a',)
dot~small	('small~dot',)
dot~relatively~small	('relatively~small~dot',)
dot~for~relatively~small	('for~relatively~small~dot',)
count~set	('set~count',)
count~data~set	('data~set~count',)
count~data~set~small	('small~data~set~count',)
data~set~the~where	('data~set~where~the',)
number~value	('value~number',)
number~value~where	('where~value~number',)
number~set~value~where	('set~where~value~number',)
fall~of	('fall~of',)
fall~of~value	('value~fall~of',)
fall~of~value~where	('where~value~fall~of',)
data~fall~into	('fall~into~data',)
data~fall~into~value	('value~fall~into~data',)
falling~number	('number~falling',)
falling~into~number	('into~number~falling',)
a~in~number~of	('a~number~of~in', 'in~a~number~of')
discrete~each	('discrete~each',)
discrete~each~of	('of~discrete~each',)
discrete~each~number~of	('number~of~discrete~each',)
bin~discrete	('discrete~bin',)
bin~discrete~of	('of~discrete~bin',)
and~bin~to	('bin~to~and',)
and~bin~discrete~to	('discrete~bin~to~and',)
draw~to	('to~draw',)
bin~draw~to	('bin~to~draw',)
a~draw	('draw~a',)
a~draw~to	('to~draw~a',)
stack	('stack',)
dot~stack	('dot~stack',)
dot~draw~stack	('draw~dot~stack',)
dot~of~plot	('dot~plot~of',)
a~dot~of~plot	('a~dot~plot~of',)
count~that~the	('count~the~that',)
count~plot~that~the	('plot~count~the~that',)
count~number~the	('count~the~number',)
high~number~of	('number~of~high', 'number~high~of')
high~number~of~the	('the~number~of~high',)
data~for~of	('of~data~for',)
data~for~number~of	('number~of~data~for',)
data~each~point	('data~point~each',)
data~each~of~point	('of~data~point~each',)
falling~in~the	('falling~in~the',)
falling~in~point~the	('point~falling~in~the',)
illustration	('illustration',)
each~illustration	('each~illustration',)
each~illustration~in	('in~each~illustration',)
each~falling~illustration~in	('falling~in~each~illustration',)
above~bin	('bin~above',)
above~bin~each	('each~bin~above',)
draw~such	('draw~such',)
and~draw~such	('and~draw~such',)
and~bin~draw~such	('bin~and~draw~such',)
a~and~draw	('and~draw~a',)
plot~stack	('stack~plot',)
draw~plot~stack	('draw~stack~plot',)
for~of~stack	('stack~of~for',)
a~dot~of	('of~dot~a',)
a~dot~of~stack	('stack~of~dot~a',)
dot~random~that	('dot~that~random',)
dot~of~random~that	('of~dot~that~random',)
number~sample	('number~sample', 'sample~number')
number~sample~that	('that~number~sample',)
dot~number~sample~that	('dot~that~number~sample',)
high~number~of~that	('that~number~high~of',)
chosen~each	('each~chosen',)
chosen~each~for	('for~each~chosen',)
chosen~each~for~high	('high~for~each~chosen',)
between~bin	('bin~between',)
between~bin~each	('each~bin~between',)
between~bin~each~for	('for~each~bin~between',)
and~bin~the	('bin~the~and',)
and~bin~each~the	('each~bin~the~and',)
inclusively	('inclusively',)
a~code	('a~code',)
dot~for	('dot~for',)
a~dot~for	('a~dot~for',)
drawing~plot	('plot~drawing',)
dot~drawing~plot	('dot~plot~drawing',)
smooth	('smooth',)
a~smooth	('a~smooth', 'smooth~a')
curve~smooth	('smooth~curve',)
a~curve~smooth	('a~smooth~curve',)
curve~which	('curve~which',)
curve~smooth~which	('smooth~curve~which',)
a~curve~smooth~which	('a~smooth~curve~which',)
correspond~to	('correspond~to',)
correspond~to~which	('which~correspond~to',)
correspond~curve~to~which	('curve~which~correspond~to',)
correspond~the~to~which	('which~correspond~to~the',)
limiting	('limiting',)
limiting~the	('the~limiting',)
limiting~the~to	('to~the~limiting',)
correspond~limiting~the~to	('correspond~to~the~limiting',)
case~limiting	('limiting~case',)
case~limiting~the	('the~limiting~case',)
case~limiting~the~to	('to~the~limiting~case',)
case~limiting~of	('limiting~case~of',)
case~limiting~of~the	('the~limiting~case~of', 'limiting~case~of~the')
a~case~of	('case~of~a',)
a~case~limiting~of	('limiting~case~of~a',)
curve~frequency	('curve~frequency',)
curve~frequency~smooth	('smooth~curve~frequency',)
a~curve~frequency~smooth	('a~smooth~curve~frequency',)
curve~distribution~which	('curve~which~distribution',)
curve~distribution~smooth~which	('smooth~curve~which~distribution',)
correspond~of~which	('which~correspond~of',)
correspond~curve~of~which	('curve~which~correspond~of',)
a~correspond~to	('correspond~to~a',)
a~correspond~to~which	('which~correspond~to~a',)
continuous~the~to	('to~the~continuous',)
continuous~correspond~the~to	('correspond~to~the~continuous',)
distribution~limiting	('limiting~distribution',)
distribution~limiting~the	('the~limiting~distribution',)
distribution~limiting~the~to	('to~the~limiting~distribution',)
as~case	('case~as',)
as~case~limiting	('limiting~case~as',)
as~case~limiting~the	('the~limiting~case~as',)
case~of~the	('case~of~the',)
a~case~number~of	('case~of~a~number',)
histogram~of	('histogram~of',)
computed~data	('computed~data',)
computed~data~histogram	('histogram~computed~data',)
frequency~very	('frequency~very',)
a~frequency~very	('a~frequency~very',)
a~for~frequency~very	('for~a~frequency~very',)
smooth~statistical	('smooth~statistical',)
frequency~which	('which~frequency',)
curve~frequency~which	('curve~which~frequency',)
curve~frequency~smooth~which	('smooth~curve~which~frequency',)
correspond~frequency~to	('correspond~to~frequency',)
correspond~frequency~to~which	('which~correspond~to~frequency',)
gaussian~limiting	('limiting~gaussian',)
gaussian~limiting~the	('the~limiting~gaussian',)
gaussian~limiting~the~to	('to~the~limiting~gaussian',)
grouping~the	('the~grouping',)
grouping~of~the	('the~grouping~of', 'grouping~of~the')
data~grouping~of	('grouping~of~data',)
